Bucket,Lat,Lon,Medical Emergencies,Medical MFAs,NonMedical Emergencies,NonMedical MFAs,NonStructural Fires,Structural Fires,Total
Lat100Lon63,40.9079,-73.91,1,,5,,,4,10
Lat100Lon64,40.9079,-73.9044,54,,37,1,1,5,98
Lat100Lon65,40.9079,-73.8988,69,,63,1,5,10,148
Lat100Lon73,40.9079,-73.854,4,,4,,1,2,11
Lat100Lon74,40.9079,-73.8484,10,,18,,,1,29
Lat100Lon78,40.9079,-73.826,2,,6,,,1,9
Lat10Lon10,40.5299,-74.2068,15,,9,,,1,25
Lat10Lon11,40.5299,-74.2012,4,,10,1,1,1,17
Lat10Lon12,40.5299,-74.1956,4,,7,3,,2,16
Lat10Lon13,40.5299,-74.19,19,1,24,1,3,4,52
Lat10Lon14,40.5299,-74.1844,3,,4,,,1,8
Lat10Lon17,40.5299,-74.1676,37,,14,,,4,55
Lat10Lon18,40.5299,-74.162,13,,10,1,,1,25
Lat10Lon19,40.5299,-74.1564,1,,3,1,,,5
Lat10Lon4,40.5299,-74.2404,32,,36,1,1,6,76
Lat10Lon8,40.5299,-74.218,11,,18,2,3,5,39
Lat10Lon9,40.5299,-74.2124,2,,5,,,1,8
Lat11Lon10,40.5341,-74.2068,5,,7,,,2,14
Lat11Lon11,40.5341,-74.2012,7,,19,1,,1,28
Lat11Lon12,40.5341,-74.1956,21,,25,3,1,3,53
Lat11Lon13,40.5341,-74.19,14,,8,1,,,23
Lat11Lon14,40.5341,-74.1844,56,,42,,1,9,108
Lat11Lon15,40.5341,-74.1788,8,1,6,3,,2,20
Lat11Lon16,40.5341,-74.1732,7,,7,,,1,15
Lat11Lon17,40.5341,-74.1676,10,,5,,,3,18
Lat11Lon18,40.5341,-74.162,23,,12,1,1,4,41
Lat11Lon19,40.5341,-74.1564,17,,16,2,,3,38
Lat11Lon20,40.5341,-74.1508,12,,14,7,3,1,37
Lat11Lon21,40.5341,-74.1452,5,,3,,,1,9
Lat11Lon4,40.5341,-74.2404,3,,4,,,,7
Lat11Lon5,40.5341,-74.2348,,,1,,,,1
Lat11Lon7,40.5341,-74.2236,,,1,,,,1
Lat11Lon8,40.5341,-74.218,7,,8,,,5,20
Lat12Lon10,40.5383,-74.2068,21,,24,,5,4,54
Lat12Lon11,40.5383,-74.2012,10,,12,,,3,25
Lat12Lon12,40.5383,-74.1956,15,1,29,1,1,4,51
Lat12Lon13,40.5383,-74.19,7,,18,,2,,27
Lat12Lon14,40.5383,-74.1844,16,,18,1,,1,36
Lat12Lon15,40.5383,-74.1788,6,,5,,,1,12
Lat12Lon16,40.5383,-74.1732,19,,20,1,2,3,45
Lat12Lon17,40.5383,-74.1676,24,,15,,2,5,46
Lat12Lon18,40.5383,-74.162,13,,6,3,,2,24
Lat12Lon19,40.5383,-74.1564,21,,9,2,,,32
Lat12Lon20,40.5383,-74.1508,27,,14,3,2,,46
Lat12Lon21,40.5383,-74.1452,20,,30,1,,7,58
Lat12Lon5,40.5383,-74.2348,8,,16,1,1,2,28
Lat12Lon7,40.5383,-74.2236,48,1,24,2,2,2,79
Lat12Lon8,40.5383,-74.218,8,,7,,,1,16
Lat12Lon9,40.5383,-74.2124,12,,19,,5,,36
Lat13Lon10,40.5425,-74.2068,24,,42,,2,1,69
Lat13Lon11,40.5425,-74.2012,21,,7,,1,1,30
Lat13Lon12,40.5425,-74.1956,24,,37,2,,2,65
Lat13Lon13,40.5425,-74.19,7,,13,,1,,21
Lat13Lon14,40.5425,-74.1844,4,,5,,1,,10
Lat13Lon15,40.5425,-74.1788,37,,22,4,5,3,71
Lat13Lon16,40.5425,-74.1732,21,,20,1,,4,46
Lat13Lon17,40.5425,-74.1676,15,,12,,1,4,32
Lat13Lon18,40.5425,-74.162,53,,35,3,1,1,93
Lat13Lon19,40.5425,-74.1564,17,,22,,1,,40
Lat13Lon20,40.5425,-74.1508,24,,19,,1,4,48
Lat13Lon21,40.5425,-74.1452,21,,39,1,,,61
Lat13Lon22,40.5425,-74.1396,4,,5,,2,,11
Lat13Lon3,40.5425,-74.246,,,1,,,,1
Lat13Lon5,40.5425,-74.2348,2,,3,,,,5
Lat13Lon7,40.5425,-74.2236,21,,19,2,1,2,45
Lat13Lon8,40.5425,-74.218,27,,31,,1,3,62
Lat13Lon9,40.5425,-74.2124,20,,24,,1,2,47
Lat14Lon10,40.5467,-74.2068,6,,1,,,1,8
Lat14Lon11,40.5467,-74.2012,17,,20,,2,6,45
Lat14Lon12,40.5467,-74.1956,16,,16,3,,3,38
Lat14Lon13,40.5467,-74.19,12,2,8,1,4,2,29
Lat14Lon14,40.5467,-74.1844,16,,22,,,2,40
Lat14Lon15,40.5467,-74.1788,12,,18,5,1,1,37
Lat14Lon16,40.5467,-74.1732,18,,16,1,,5,40
Lat14Lon17,40.5467,-74.1676,35,,27,1,,2,65
Lat14Lon18,40.5467,-74.162,37,,24,2,1,3,67
Lat14Lon19,40.5467,-74.1564,15,,16,,,1,32
Lat14Lon20,40.5467,-74.1508,8,,9,3,1,2,23
Lat14Lon21,40.5467,-74.1452,14,,19,,,2,35
Lat14Lon22,40.5467,-74.1396,91,,152,3,1,4,251
Lat14Lon24,40.5467,-74.1284,2,,5,,1,,8
Lat14Lon6,40.5467,-74.2292,3,,12,,,,15
Lat14Lon8,40.5467,-74.218,37,,27,1,1,4,70
Lat14Lon9,40.5467,-74.2124,31,,27,,1,3,62
Lat15Lon11,40.5509,-74.2012,19,,16,,4,,39
Lat15Lon12,40.5509,-74.1956,7,1,2,1,1,,12
Lat15Lon13,40.5509,-74.19,15,,11,,1,6,33
Lat15Lon14,40.5509,-74.1844,15,,11,1,,2,29
Lat15Lon15,40.5509,-74.1788,8,,6,,,,14
Lat15Lon16,40.5509,-74.1732,19,,32,3,2,4,60
Lat15Lon17,40.5509,-74.1676,30,,34,3,2,5,74
Lat15Lon18,40.5509,-74.162,23,,23,1,1,4,52
Lat15Lon19,40.5509,-74.1564,29,1,20,1,1,1,53
Lat15Lon20,40.5509,-74.1508,12,,16,3,2,1,34
Lat15Lon21,40.5509,-74.1452,17,,23,1,1,3,45
Lat15Lon22,40.5509,-74.1396,34,,17,2,1,4,58
Lat15Lon23,40.5509,-74.134,1,,1,3,,2,7
Lat15Lon26,40.5509,-74.1172,,,2,2,1,,5
Lat15Lon5,40.5509,-74.2348,,,1,,,,1
Lat15Lon7,40.5509,-74.2236,6,,7,,2,,15
Lat15Lon8,40.5509,-74.218,11,,20,,2,6,39
Lat15Lon9,40.5509,-74.2124,15,,19,1,1,2,38
Lat16Lon10,40.5551,-74.2068,2,,4,,,,6
Lat16Lon11,40.5551,-74.2012,14,,38,8,2,4,66
Lat16Lon12,40.5551,-74.1956,11,,4,1,,2,18
Lat16Lon13,40.5551,-74.19,1,,1,,,,2
Lat16Lon14,40.5551,-74.1844,22,,10,,,1,33
Lat16Lon15,40.5551,-74.1788,20,,16,,1,6,43
Lat16Lon16,40.5551,-74.1732,34,,20,2,,5,61
Lat16Lon17,40.5551,-74.1676,35,,20,2,1,5,63
Lat16Lon18,40.5551,-74.162,27,1,10,3,,,41
Lat16Lon19,40.5551,-74.1564,39,,41,,,4,84
Lat16Lon20,40.5551,-74.1508,16,,11,,,2,29
Lat16Lon21,40.5551,-74.1452,10,,12,,,3,25
Lat16Lon22,40.5551,-74.1396,61,1,41,,2,7,112
Lat16Lon23,40.5551,-74.134,25,,10,1,,3,39
Lat16Lon24,40.5551,-74.1284,1,,,,,,1
Lat16Lon25,40.5551,-74.1228,14,,10,,2,2,28
Lat16Lon26,40.5551,-74.1172,10,,7,4,1,,22
Lat16Lon27,40.5551,-74.1116,,,2,,,,2
Lat16Lon8,40.5551,-74.218,5,,3,,,,8
Lat16Lon9,40.5551,-74.2124,9,,17,1,1,4,32
Lat17Lon10,40.5593,-74.2068,5,,1,1,,,7
Lat17Lon11,40.5593,-74.2012,5,,2,,,2,9
Lat17Lon12,40.5593,-74.1956,23,,18,,2,3,46
Lat17Lon14,40.5593,-74.1844,6,,1,,,,7
Lat17Lon15,40.5593,-74.1788,27,,22,,2,1,52
Lat17Lon16,40.5593,-74.1732,25,,4,1,,,30
Lat17Lon17,40.5593,-74.1676,54,,32,3,,4,93
Lat17Lon18,40.5593,-74.162,36,,24,,2,4,66
Lat17Lon19,40.5593,-74.1564,40,,21,1,,4,66
Lat17Lon20,40.5593,-74.1508,43,,22,2,,7,74
Lat17Lon21,40.5593,-74.1452,18,,9,,1,2,30
Lat17Lon23,40.5593,-74.134,5,,4,,,,9
Lat17Lon24,40.5593,-74.1284,12,,19,,,6,37
Lat17Lon25,40.5593,-74.1228,18,,10,1,1,1,31
Lat17Lon26,40.5593,-74.1172,27,1,24,,1,2,55
Lat17Lon27,40.5593,-74.1116,16,,14,,,2,32
Lat17Lon28,40.5593,-74.106,16,,10,,1,,27
Lat17Lon29,40.5593,-74.1004,4,,1,,,,5
Lat17Lon62,40.5593,-73.9156,94,1,113,2,5,7,222
Lat18Lon13,40.5635,-74.19,1,,7,,1,,9
Lat18Lon14,40.5635,-74.1844,11,,8,1,,4,24
Lat18Lon15,40.5635,-74.1788,34,1,38,3,1,2,79
Lat18Lon16,40.5635,-74.1732,6,,10,,,1,17
Lat18Lon17,40.5635,-74.1676,,,4,,,,4
Lat18Lon19,40.5635,-74.1564,5,,10,,,3,18
Lat18Lon20,40.5635,-74.1508,2,,,,,1,3
Lat18Lon22,40.5635,-74.1396,1,,6,,1,,8
Lat18Lon24,40.5635,-74.1284,12,,10,,,,22
Lat18Lon25,40.5635,-74.1228,16,,19,1,,3,39
Lat18Lon26,40.5635,-74.1172,104,,64,,5,9,182
Lat18Lon27,40.5635,-74.1116,33,,17,,,5,55
Lat18Lon28,40.5635,-74.106,47,,17,4,,1,69
Lat18Lon29,40.5635,-74.1004,23,,22,,3,2,50
Lat18Lon30,40.5635,-74.0948,,,,,1,,1
Lat18Lon64,40.5635,-73.9044,9,,7,,,,16
Lat18Lon66,40.5635,-73.8932,6,1,14,,,2,23
Lat19Lon12,40.5677,-74.1956,1,,1,,,,2
Lat19Lon20,40.5677,-74.1508,8,,3,,,,11
Lat19Lon22,40.5677,-74.1396,7,,4,,,1,12
Lat19Lon23,40.5677,-74.134,5,,3,,,,8
Lat19Lon24,40.5677,-74.1284,9,,7,,1,,17
Lat19Lon25,40.5677,-74.1228,16,1,10,,,,27
Lat19Lon26,40.5677,-74.1172,19,,14,2,1,1,37
Lat19Lon27,40.5677,-74.1116,71,,25,,5,3,104
Lat19Lon28,40.5677,-74.106,11,,15,,1,,27
Lat19Lon29,40.5677,-74.1004,4,,4,2,7,1,18
Lat19Lon30,40.5677,-74.0948,84,6,36,11,3,3,143
Lat19Lon67,40.5677,-73.8876,1,,,,,,1
Lat19Lon68,40.5677,-73.882,10,1,17,,1,,29
Lat19Lon70,40.5677,-73.8708,14,,11,,,,25
Lat19Lon71,40.5677,-73.8652,4,,4,,,1,9
Lat20Lon17,40.5719,-74.1676,8,,1,,,,9
Lat20Lon20,40.5719,-74.1508,2,,6,,,1,9
Lat20Lon21,40.5719,-74.1452,5,1,9,1,1,1,18
Lat20Lon23,40.5719,-74.134,3,,5,,,2,10
Lat20Lon24,40.5719,-74.1284,4,,,,,,4
Lat20Lon25,40.5719,-74.1228,11,,8,,,2,21
Lat20Lon26,40.5719,-74.1172,20,,16,3,1,2,42
Lat20Lon27,40.5719,-74.1116,20,,16,1,4,2,43
Lat20Lon28,40.5719,-74.106,16,,11,1,,,28
Lat20Lon29,40.5719,-74.1004,11,,2,,,,13
Lat20Lon30,40.5719,-74.0948,34,,24,7,,1,66
Lat20Lon31,40.5719,-74.0892,47,1,9,,1,,58
Lat20Lon46,40.5719,-74.0052,8,,1,2,,,11
Lat20Lon47,40.5719,-73.9996,88,,65,4,6,3,166
Lat20Lon48,40.5719,-73.994,242,4,330,13,6,26,621
Lat20Lon49,40.5719,-73.9884,75,,39,,,5,119
Lat20Lon50,40.5719,-73.9828,29,,6,1,,1,37
Lat20Lon51,40.5719,-73.9772,21,,3,,1,,25
Lat20Lon71,40.5719,-73.8652,5,,14,,3,2,24
Lat20Lon72,40.5719,-73.8596,7,,15,,,5,27
Lat20Lon73,40.5719,-73.854,15,,29,4,3,3,54
Lat21Lon13,40.5761,-74.19,3,,45,5,2,,55
Lat21Lon17,40.5761,-74.1676,1,,2,1,2,,6
Lat21Lon18,40.5761,-74.162,26,1,27,,1,2,57
Lat21Lon19,40.5761,-74.1564,3,,3,,,,6
Lat21Lon21,40.5761,-74.1452,1,,1,,,,2
Lat21Lon22,40.5761,-74.1396,,,5,,,,5
Lat21Lon23,40.5761,-74.134,5,,8,,,,13
Lat21Lon25,40.5761,-74.1228,12,1,5,3,,3,24
Lat21Lon26,40.5761,-74.1172,29,,18,,1,,48
Lat21Lon27,40.5761,-74.1116,19,,12,1,,1,33
Lat21Lon28,40.5761,-74.106,39,,19,1,1,1,61
Lat21Lon29,40.5761,-74.1004,18,,21,2,2,,43
Lat21Lon30,40.5761,-74.0948,17,,27,4,1,2,51
Lat21Lon31,40.5761,-74.0892,5,,7,,,1,13
Lat21Lon32,40.5761,-74.0836,3,,9,3,1,,16
