fid,name,left,top,right,bottom,id,Lat Grid,Lon Grid,Grid,Event Count
5515,Queens,,,,,,,,,
5516,Manhattan,,,,,,,,,
5517,statan Island,,,,,,,,,
5518,Bronx,,,,,,,,,
5519,Brooklyn,,,,,,,,,
2862,statan Island,-74.2558,40.5148,-74.2516,40.5106,199,4,0,Lat4Lon0,32
2856,statan Island,-74.2558,40.5106,-74.2516,40.5064,200,3,0,Lat3Lon0,17
2854,statan Island,-74.2558,40.5064,-74.2516,40.5022,201,2,0,Lat2Lon0,21
2859,statan Island,-74.2558,40.5022,-74.2516,40.498,202,1,0,Lat1Lon0,0
3455,statan Island,-74.2516,40.519,-74.2474,40.5148,300,5,1,Lat5Lon1,0
3453,statan Island,-74.2516,40.5148,-74.2474,40.5106,301,4,1,Lat4Lon1,28
3459,statan Island,-74.2516,40.5106,-74.2474,40.5064,302,3,1,Lat3Lon1,30
3457,statan Island,-74.2516,40.5064,-74.2474,40.5022,303,2,1,Lat2Lon1,24
3462,statan Island,-74.2516,40.5022,-74.2474,40.498,304,1,1,Lat1Lon1,0
3461,statan Island,-74.2516,40.498,-74.2474,40.4938,305,0,1,Lat0Lon1,2
1279,Queens,-73.966,40.7374,-73.9618,40.7332,7184,57,69,Lat57Lon69,0
1329,Queens,-73.9618,40.7416,-73.9576,40.7374,7285,58,70,Lat58Lon70,3.333333333
3552,statan Island,-74.2474,40.5484,-74.2432,40.5442,395,12,2,Lat12Lon2,0
3557,statan Island,-74.2474,40.5442,-74.2432,40.54,396,11,2,Lat11Lon2,1
3555,statan Island,-74.2474,40.54,-74.2432,40.5358,397,10,2,Lat10Lon2,0
3560,statan Island,-74.2474,40.5358,-74.2432,40.5316,398,9,2,Lat9Lon2,0
2564,statan Island,-74.2474,40.5232,-74.2432,40.519,401,6,2,Lat6Lon2,0
2566,statan Island,-74.2474,40.519,-74.2432,40.5148,402,5,2,Lat5Lon2,11
2565,statan Island,-74.2474,40.5148,-74.2432,40.5106,403,4,2,Lat4Lon2,44
2568,statan Island,-74.2474,40.5106,-74.2432,40.5064,404,3,2,Lat3Lon2,56
2567,statan Island,-74.2474,40.5064,-74.2432,40.5022,405,2,2,Lat2Lon2,16
2570,statan Island,-74.2474,40.5022,-74.2432,40.498,406,1,2,Lat1Lon2,31
2569,statan Island,-74.2474,40.498,-74.2432,40.4938,407,0,2,Lat0Lon2,0
2673,statan Island,-74.2432,40.5526,-74.239,40.5484,496,13,3,Lat13Lon3,0
2672,statan Island,-74.2432,40.5484,-74.239,40.5442,497,12,3,Lat12Lon3,0
2675,statan Island,-74.2432,40.5442,-74.239,40.54,498,11,3,Lat11Lon3,0
2674,statan Island,-74.2432,40.54,-74.239,40.5358,499,10,3,Lat10Lon3,0
2677,statan Island,-74.2432,40.5358,-74.239,40.5316,500,9,3,Lat9Lon3,2
2676,statan Island,-74.2432,40.5316,-74.239,40.5274,501,8,3,Lat8Lon3,76
2679,statan Island,-74.2432,40.5274,-74.239,40.5232,502,7,3,Lat7Lon3,0
2678,statan Island,-74.2432,40.5232,-74.239,40.519,503,6,3,Lat6Lon3,8
2662,statan Island,-74.2432,40.519,-74.239,40.5148,504,5,3,Lat5Lon3,17
2660,statan Island,-74.2432,40.5148,-74.239,40.5106,505,4,3,Lat4Lon3,19
2666,statan Island,-74.2432,40.5106,-74.239,40.5064,506,3,3,Lat3Lon3,24
2664,statan Island,-74.2432,40.5064,-74.239,40.5022,507,2,3,Lat2Lon3,20
2670,statan Island,-74.2432,40.5022,-74.239,40.498,508,1,3,Lat1Lon3,10
2668,statan Island,-74.2432,40.498,-74.239,40.4938,509,0,3,Lat0Lon3,1
3261,statan Island,-74.239,40.5526,-74.2348,40.5484,598,13,4,Lat13Lon4,0
3260,statan Island,-74.239,40.5484,-74.2348,40.5442,599,12,4,Lat12Lon4,0
3246,statan Island,-74.239,40.5442,-74.2348,40.54,600,11,4,Lat11Lon4,5
3244,statan Island,-74.239,40.54,-74.2348,40.5358,601,10,4,Lat10Lon4,20
3250,statan Island,-74.239,40.5358,-74.2348,40.5316,602,9,4,Lat9Lon4,6
3248,statan Island,-74.239,40.5316,-74.2348,40.5274,603,8,4,Lat8Lon4,0
3254,statan Island,-74.239,40.5274,-74.2348,40.5232,604,7,4,Lat7Lon4,1
3252,statan Island,-74.239,40.5232,-74.2348,40.519,605,6,4,Lat6Lon4,28
3258,statan Island,-74.239,40.519,-74.2348,40.5148,606,5,4,Lat5Lon4,30
3256,statan Island,-74.239,40.5148,-74.2348,40.5106,607,4,4,Lat4Lon4,37
3263,statan Island,-74.239,40.5106,-74.2348,40.5064,608,3,4,Lat3Lon4,28
3262,statan Island,-74.239,40.5064,-74.2348,40.5022,609,2,4,Lat2Lon4,16
