AlarmBoxwBorough,Address
Q4973,"H. HARDING EXPY N/SVC RD & FRESH MEADOW, New York, NY 11365"
B8090,"BQE BET ATLANTIC AVE & RAPELYE ST, New York, NY NA"
Q8387,"HARDING XWAY & GCP, New York, NY 11375"
R4141,"PITNEY AVE AND GAYNOR ST, New York, NY 10309"
M8701,"TRANS MANHATTAN EXWAY WEST BOUND, New York, NY 10033"
R2432,"TERRACE CT & LIGHTHOUSE AV\RICHMOND VFD, New York, NY 10306"
R1241,"MC CLEAN AVE AND SAND LANE, New York, NY 10305"
X8926,"DEEGAN XWAY BTW W 179 ST & W 230 ST, New York, NY NA"
X3399,"JEROME & PAUL AVES, New York, NY 10468"
Q8491,"VAN WYCK EXPY- WHITESTONE TO NORTHERN BL, New York, NY NA"
M1002,"RIVERSIDE BLVD & W 63 ST, New York, NY 10069"
M7400,"IRT 4-5-6 @ E 59 ST & LEXINGTON AVE, New York, NY 10022"
M8072,"MANHATTAN BRIDGE - BKLYN BOUND LOWER LEV, New York, NY NA"
Q8493,"VAN WYCK EXPY- QUEENS BLVD TO JAMAICA AV, New York, NY NA"
Q8372,"GCP BTW CROSS IS PWAY AND CITY LINE, New York, NY NA"
R0936,"RICHMOND TERRACE AND MORNINGSTAR RD, New York, NY NA"
R8508,"GOETHALS BRIDGE TOLL PLAZA, New York, NY NA"
X7218,"IND B&D ? E 167 ST & GRAND CONCOURSE, New York, NY NA"
X4515,"RODMAN'S NECK TRAFFIC CIR & CITY IS RD, New York, NY NA"
R2216,"NEW DORP LA & HYLAN BLVD, New York, NY 10306"
Q8388,"LI EXPY -COLLEGE PT BLVD TO KISSENA BLVD, New York, NY 11367"
X8931,"BX RIV PKWY-PELHAM PKWY & GUN HILL RD S, New York, NY NA"
Q8393,"INTERBORO PKWY & METROPOLITAN AV, New York, NY 11385"
B8330,"AIR RECON CHIEF>>, New York, NY NA"
M8171,"33 ST & 8 AV-PENN TERM-PD OFFICE, New York, NY NA"
M8084,"1 WTC FREEDOM TOWER 285 FULTON ST, New York, NY 10007"
X8982,"BRUCKNER EXPY-BOLTON AVE & MIDDLETOWN RD, New York, NY NA"
M1782,"AMSTERDAM AV SOUTH OF FT GEORGE AVE, New York, NY 10040"
M7019,"BMT N & Q @ CANAL ST & BWAY, New York, NY 10013"
M7397,"IRT 4-5-6 ? E 86 ST & LEXINGTON AVE, New York, NY 10028"
X8901,"CROSS BX XWAY BET WEBSTER AVE & 3 AVE, New York, NY 10457"
Q8401,"GCP - JEWEL AVE TO UTOPIA PKWY, New York, NY NA"
M8794,"GRAND CENTRAL TERM-E43 ST & VANDERBILT->, New York, NY 10017"
B8370,"SPRING CREEK GARDENS-LORING AV & DREW ST, New York, NY 11208"
X4723,"OPP 10 RICHMAN PLZ-SEDWICK AV & W 176 ST, New York, NY 10453"
Q8409,"BELT PWAY BTW ROCKAWAY BLVD & 225 ST, New York, NY NA"
X3119,"M.L.KING JR BLVD & W 179 ST, New York, NY 10453"
Q8397,"G.C.P. BTW 94 ST & NORTHERN BLVD, New York, NY NA"
X3650,"BRONX BLVD OPP 220 ST, New York, NY 10467"
R2358,"CLIFTON & JONES STS\OCEANIC VFD, New York, NY 10314"
X4958,"FORDHAM UNIV & BATHGATE AVE, New York, NY 10458"
M8770,"QUEENBORO BRDG ?QUEENS BOUND-UPPER LEVL, New York, NY NA"
R3818,"HYLAN BLVD AND NELSON AVE, New York, NY 10308"
R1242,"MC CLEAN AVE & LINDWOOD AVE, New York, NY 10305"
Q8444,"CLEARVIEW EXPY BTW WILLET PT & NORTHERN, New York, NY 11360"
R0875,"FOOTE AND HOWARD AVES, New York, NY 10301"
M8758,"H HUDSON - W 177 ST TO W 184 ST-BY GWB->, New York, NY NA"
X2729,"FREEMAN ST & STEBBINS/REV POLITE AVE, New York, NY 10459"
X8875,"DEEGAN XWAY BTW BRUCKNER XWAY & CONCOURS, New York, NY NA"
M7392,"IRT 4-5-6 @ E 125 ST & LEXINGTON AVE, New York, NY 10035"
Q4994,"BROOKVILLE BLVD & 247 ST, New York, NY NA"
X2723,"WALTON AVE & CLARKE PL, New York, NY 10452"
Q8379,"QNS MID-TOWN TUNNEL HWY OVER 29 ST, New York, NY 11101"
M1976,"WARDS ISL CENTRAL FIELDS, New York, NY 10035"
M7322,"IRT 1-2-3 ? W 14 ST & 7 AVE, New York, NY 10011"
X7216,"IND B&D ? E 174 ST & GRAND CONCOURSE, New York, NY 10452"
R0073,"FRANKLIN AVE & FILLMORE ST, New York, NY NA"
R2381,"RICHMOND AVE & VICTORY BLVD, New York, NY 10314"
X4845,"E229 ST-500' WEST OF SCHIEFFELIN AVE, New York, NY 10466"
R0979,"UNION AVE & RICHMOND TERR, New York, NY 10303"
Q8365,"CROSS IS PKWY- LIE TO NORTHERN BLVD, New York, NY 11363"
M7156,"IND B&C ? W 103  ST & CENTRAL PK W, New York, NY 10025"
R4298,"MOSELY AND FABIAN AVES, New York, NY 10312"
Q0432,"STA 264-IND G-R-V- WOODHAVEN & QNS BLVD, New York, NY NA"
R1554,"MANOR RD & OCEAN TERR, New York, NY 10314"
R0229,"VICTORY BLVD & BAY ST, New York, NY 10301"
B8625,"BELT PWAY BET OCEAN PWAY & CONEY IS AV, New York, NY NA"
R0460,"PARKHILL AVE & SOBEL COURT, New York, NY 10304"
R2853,"NEWVALE AVE & ARTHUR KILL RD/RVFD, New York, NY 10306"
X8940,"BX RIV PKWY - GUN HILL RD N & CITY LINE, New York, NY NA"
X8897,"CROSS BX XWAY DEEGAN XWAY TO JEROME AVE, New York, NY NA"
Q8370,"CROSS IS PKWY- NORTHERN BL TO FT TOTTEN, New York, NY 11360"
R2947,"WELLINGTON CT & VENUS LA--VFD, New York, NY 10314"
B8386,"LINDEN PLAZA HOUSES, DUMONT AVE. & ELDER, New York, NY 11208"
X4337,"PELHAM PKWY & NEW ENGLAND THWY, New York, NY 10465"
Q8389,"LI EXWY - MAIN ST TO BELL BLVD, New York, NY NA"
R1487,"SEA VIEW AVE & QUINCY AVE, New York, NY 10305"
X8744,"VA HOSP. SEDGWICK AV & KINGSBRIDGE RD, New York, NY 10468"
X8974,"CROSS BX EX -OLMSTEAD AV TO SWINTON AV->, New York, NY 10462"
M7119,"BMT L - 1 AVE & E 14 ST, New York, NY NA"
X4309,"BRUCKNER BLVD S/B & BUHRE AVE, New York, NY 10461"
B4010,"VANDALIA AVE BET WALKER ST & SCHENCK AVE, New York, NY 11239"
B7183,"IND C @ ROCKAWAY AVE & FULTON ST, New York, NY 11233"
Q8997,"NASSAU EXPRESSWAY & ROCKAWAY BLVD, New York, NY 11430"
R0404,"STAGE LA & STUDIO LA, New York, NY 10304"
