,alarm_box_borough,alarm_box_location,alarm_box_number,alarm_level_index_description,alarm_source_description_tx,citycouncildistrict,communitydistrict,communityschooldistrict,congressionaldistrict,dispatch_response_seconds_qy,engines_assigned_quantity,first_activation_datetime,first_assignment_datetime,first_on_scene_datetime,highest_alarm_level,incident_borough,incident_classification,incident_classification_group,incident_close_datetime,incident_datetime,incident_response_seconds_qy,incident_travel_tm_seconds_qy,ladders_assigned_quantity,other_units_assigned_quantity,policeprecinct,starfire_incident_id,valid_dispatch_rspns_time_indc,valid_incident_rspns_time_indc,zipcode,Address,Lat,Lon
1,QUEENS,H. HARDING EXPY N/SVC RD & FRESH MEADOW,4973,Initial Alarm,UCT/911,20,407,25,6,13,1,2017-06-29T04:28:10.000,2017-06-29T04:27:42.000,2017-06-29T04:31:20.000,First Alarm,QUEENS,Carbon Monoxide - Code 1 - Investigation,NonMedical Emergencies,2017-06-29T04:38:38.000,2017-06-29T04:27:29.000,231,218,1,0,109,1.72E+15,N,Y,11365,"H. HARDING EXPY N/SVC RD & FRESH MEADOW, New York, NY 11365",40.7428584,-73.7805571
2,BRONX,HOLLAND & LYDIG AVES,3225,Initial Alarm,UCT/911,13,211,11,14,9,2,2017-03-02T21:35:06.000,2017-03-02T21:34:45.000,2017-03-02T21:38:48.000,First Alarm,BRONX,Utility Emergency - Gas,NonMedical Emergencies,2017-03-02T21:56:25.000,2017-03-02T21:34:36.000,252,243,2,1,49,1.71E+15,N,Y,10462,"HOLLAND & LYDIG AVES, New York, NY 10462",40.85,-73.87
3,QUEENS,ROCKAWAY BEACH BLVD & BEACH 98 ST,1349,Initial Alarm,UCT/911,32,414,27,5,12,0,2017-06-17T14:42:33.000,2017-06-17T14:42:10.000,NA,First Alarm,QUEENS,Utility Emergency - Water,NonMedical Emergencies,2017-06-17T14:43:07.000,2017-06-17T14:41:58.000,0,0,1,0,100,1.72E+15,N,N,11693,"ROCKAWAY BEACH BLVD & BEACH 98 ST, New York, NY 11693",40.5831381,-73.8226613
4,BRONX,EAGLE AVE & 161 ST /UPPER LEVEL/,2342,Initial Alarm,PD Link/Medical,17,201,7,15,6,1,2017-09-14T21:00:50.000,2017-09-14T21:00:30.000,NA,First Alarm,BRONX,Medical - PD Link 10-91,Medical Emergencies,2017-09-14T21:01:46.000,2017-09-14T21:00:24.000,0,0,0,0,40,1.73E+15,N,N,10456,"EAGLE AVE & 161 ST /UPPER LEVEL/, New York, NY 10456",40.8233609,-73.9077883
5,BROOKLYN,FLATBUSH AVE & 4 AVE,1238,Initial Alarm,Private Fire Alarm,35,302,15,8,35,1,2017-09-27T06:03:35.000,2017-09-27T06:03:23.000,2017-09-27T06:06:28.000,First Alarm,BROOKLYN,Alarm System - Defective,NonMedical Emergencies,2017-09-27T06:22:34.000,2017-09-27T06:02:48.000,220,185,1,1,78,1.73E+15,N,Y,11217,"FLATBUSH AVE & 4 AVE, New York, NY 11217",40.6307828,-73.9455011
6,BROOKLYN,MERMAID AVE & W 22 ST,3543,Initial Alarm,PD Link/Medical,47,313,21,8,4,1,2017-12-31T18:52:49.000,2017-12-31T18:52:29.000,NA,First Alarm,BROOKLYN,Medical - PD Link 10-91,Medical Emergencies,2017-12-31T18:55:48.000,2017-12-31T18:52:25.000,0,0,0,0,60,1.74E+15,N,N,11224,"MERMAID AVE & W 22 ST, New York, NY 11224",40.5764828,-73.9850101
7,BRONX,FOX ST & E 163 ST,2373,Initial Alarm,PD Link/Medical,17,202,12,15,7,1,2017-05-21T11:35:18.000,2017-05-21T11:35:09.000,NA,First Alarm,BRONX,Medical - PD Link 10-91,Medical Emergencies,2017-05-21T11:37:02.000,2017-05-21T11:35:02.000,0,0,0,0,41,1.71E+15,N,N,10459,"FOX ST & E 163 ST, New York, NY 10459",40.820978,-73.893866
8,BRONX,WESTCHESTER & BOYNTON AVES,2897,Initial Alarm,UCT/911,18,209,12,15,15,4,2017-08-06T17:37:51.000,2017-08-06T17:37:34.000,2017-08-06T17:42:06.000,First Alarm,BRONX,Multiple Dwelling 'A' - Food on the stove fire,Structural Fires,2017-08-06T18:09:56.000,2017-08-06T17:37:19.000,287,272,3,2,43,1.72E+15,N,Y,10472,"WESTCHESTER & BOYNTON AVES, New York, NY 10472",40.83,-73.85
9,QUEENS,24TH AVE AND CRESCENT ST,7531,Initial Alarm,PD Link/Medical,22,401,30,14,14,1,2017-12-16T14:07:52.000,2017-12-16T14:06:50.000,NA,First Alarm,QUEENS,Medical - PD Link 10-91,Medical Emergencies,2017-12-16T14:09:55.000,2017-12-16T14:06:36.000,0,0,0,0,114,1.74E+15,N,N,11102,"24TH AVE AND CRESCENT ST, New York, NY 11102",40.7749297,-73.919139
10,MANHATTAN,PARK AVE S & E 16 ST,479,Initial Alarm,EMS Link/Medical,2,105,2,12,42,1,2017-06-02T12:58:03.000,2017-06-02T12:57:46.000,2017-06-02T13:01:28.000,First Alarm,MANHATTAN,Medical - Assist Civilian,Medical Emergencies,2017-06-02T13:15:23.000,2017-06-02T12:57:04.000,264,222,0,0,13,1.72E+15,N,N,10003,"PARK AVE S & E 16 ST, New York, NY 10003",40.7401653,-73.9863095
