,AlarmBoxwBorough,Address,Lat,Lon
1,Q4973,"H. HARDING EXPY N/SVC RD & FRESH MEADOW, New York, NY 11365",40.7428584,-73.7805571
2,B8090,"BQE BET ATLANTIC AVE & RAPELYE ST, New York, NY NA",40.6998248,-73.9962445
3,Q8387,"HARDING XWAY & GCP, New York, NY 11375",NA,NA
4,R4141,"PITNEY AVE AND GAYNOR ST, New York, NY 10309",40.5302592,-74.2199351
5,M8701,"TRANS MANHATTAN EXWAY WEST BOUND, New York, NY 10033",40.8478558,-73.9358353
6,R2432,"TERRACE CT & LIGHTHOUSE AV\RICHMOND VFD, New York, NY 10306",41.1682471,-111.9710596
7,R1241,"MC CLEAN AVE AND SAND LANE, New York, NY 10305",40.5967434,-74.0704343
8,X8926,"DEEGAN XWAY BTW W 179 ST & W 230 ST, New York, NY NA",40.8491154,-73.9379995
9,X3399,"JEROME & PAUL AVES, New York, NY 10468",34.7489107,-112.1137716
10,Q8491,"VAN WYCK EXPY- WHITESTONE TO NORTHERN BL, New York, NY NA",NA,NA
11,M1002,"RIVERSIDE BLVD & W 63 ST, New York, NY 10069",40.7770587,-73.9890502
12,M7400,"IRT 4-5-6 @ E 59 ST & LEXINGTON AVE, New York, NY 10022",NA,NA
13,M8072,"MANHATTAN BRIDGE - BKLYN BOUND LOWER LEV, New York, NY NA",40.7069506,-73.9905277
14,Q8493,"VAN WYCK EXPY- QUEENS BLVD TO JAMAICA AV, New York, NY NA",40.7058719,-73.8173264
15,Q8372,"GCP BTW CROSS IS PWAY AND CITY LINE, New York, NY NA",40.6762144,-73.8870806
16,R0936,"RICHMOND TERRACE AND MORNINGSTAR RD, New York, NY NA",40.6379338,-74.144787
17,R8508,"GOETHALS BRIDGE TOLL PLAZA, New York, NY NA",40.6355006,-74.1970659
18,X7218,"IND B&D ? E 167 ST & GRAND CONCOURSE, New York, NY NA",36.2514782,-95.6656902
19,X4515,"RODMAN'S NECK TRAFFIC CIR & CITY IS RD, New York, NY NA",40.8534336,-73.8009667
20,R2216,"NEW DORP LA & HYLAN BLVD, New York, NY 10306",40.7127753,-74.0059728
21,Q8388,"LI EXPY -COLLEGE PT BLVD TO KISSENA BLVD, New York, NY 11367",NA,NA
22,X8931,"BX RIV PKWY-PELHAM PKWY & GUN HILL RD S, New York, NY NA",40.9474366,-73.8346007
23,Q8393,"INTERBORO PKWY & METROPOLITAN AV, New York, NY 11385",40.7024457,-73.8595162
24,B8330,"AIR RECON CHIEF>>, New York, NY NA",40.7127753,-74.0059728
25,M8171,"33 ST & 8 AV-PENN TERM-PD OFFICE, New York, NY NA",40.7485781,-73.9886664
26,M8084,"1 WTC FREEDOM TOWER 285 FULTON ST, New York, NY 10007",40.7127431,-74.0133795
27,X8982,"BRUCKNER EXPY-BOLTON AVE & MIDDLETOWN RD, New York, NY NA",40.8255446,-73.860117
28,M1782,"AMSTERDAM AV SOUTH OF FT GEORGE AVE, New York, NY 10040",40.8588877,-73.9342216
29,M7019,"BMT N & Q @ CANAL ST & BWAY, New York, NY 10013",40.7127753,-74.0059728
30,M7397,"IRT 4-5-6 ? E 86 ST & LEXINGTON AVE, New York, NY 10028",40.781242,-73.960357
31,X8901,"CROSS BX XWAY BET WEBSTER AVE & 3 AVE, New York, NY 10457",34.7580305,-79.498573
32,Q8401,"GCP - JEWEL AVE TO UTOPIA PKWY, New York, NY NA",40.7309365,-73.8203745
33,M8794,"GRAND CENTRAL TERM-E43 ST & VANDERBILT->, New York, NY 10017",40.7527262,-73.9772294
34,B8370,"SPRING CREEK GARDENS-LORING AV & DREW ST, New York, NY 11208",40.6672739,-73.8606975
35,X4723,"OPP 10 RICHMAN PLZ-SEDWICK AV & W 176 ST, New York, NY 10453",40.8515217,-73.9233852
36,Q8409,"BELT PWAY BTW ROCKAWAY BLVD & 225 ST, New York, NY NA",40.6354904,-73.8804439
37,X3119,"M.L.KING JR BLVD & W 179 ST, New York, NY 10453",27.9815809,-82.4523996
38,Q8397,"G.C.P. BTW 94 ST & NORTHERN BLVD, New York, NY NA",NA,NA
39,X3650,"BRONX BLVD OPP 220 ST, New York, NY 10467",40.8897135,-73.863827
40,R2358,"CLIFTON & JONES STS\OCEANIC VFD, New York, NY 10314",40.8584328,-74.1637553
41,X4958,"FORDHAM UNIV & BATHGATE AVE, New York, NY 10458",40.8620404,-73.8856987
42,M8770,"QUEENBORO BRDG ?QUEENS BOUND-UPPER LEVL, New York, NY NA",40.7567316,-73.9542239
43,R3818,"HYLAN BLVD AND NELSON AVE, New York, NY 10308",40.5424614,-74.1459574
44,R1242,"MC CLEAN AVE & LINDWOOD AVE, New York, NY 10305",40.59702,-74.06957
45,Q8444,"CLEARVIEW EXPY BTW WILLET PT & NORTHERN, New York, NY 11360",40.7566073,-73.776705
46,R0875,"FOOTE AND HOWARD AVES, New York, NY 10301",40.6135779,-74.0989589
47,M8758,"H HUDSON - W 177 ST TO W 184 ST-BY GWB->, New York, NY NA",40.8455213,-73.9327993
48,X2729,"FREEMAN ST & STEBBINS/REV POLITE AVE, New York, NY 10459",40.8301745,-73.8917088
49,X8875,"DEEGAN XWAY BTW BRUCKNER XWAY & CONCOURS, New York, NY NA",40.8246543,-73.8709733
50,M7392,"IRT 4-5-6 @ E 125 ST & LEXINGTON AVE, New York, NY 10035",40.8044005,-73.9372187
